# ----------------------------------------
# Retention
# Account: Default Account for Firebase
# Property: ravamate
# ----------------------------------------
#  
# Start date: 20241001
# End date: 20260911
Nth day,New users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0
0129,0
0130,0
0131,0
0132,0
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,0
0173,0
0174,0
0175,0
0176,0
0177,0
0178,0
0179,0
0180,0
0181,0
0182,0
0183,0
0184,0
0185,0
0186,0
0187,0
0188,0
0189,0
0190,0
0191,0
0192,0
0193,0
0194,0
0195,0
0196,0
0197,0
0198,0
0199,0
0200,0
0201,0
0202,0
0203,0
0204,0
0205,0
0206,0
0207,0
0208,0
0209,0
0210,0
0211,0
0212,0
0213,0
0214,0
0215,0
0216,0
0217,0
0218,0
0219,0
0220,0
0221,0
0222,0
0223,0
0224,0
0225,0
0226,0
0227,0
0228,0
0229,0
0230,0
0231,0
0232,0
0233,0
0234,0
0235,0
0236,0
0237,0
0238,0
0239,0
0240,0
0241,0
0242,0
0243,0
0244,0
0245,0
0246,0
0247,0
0248,0
0249,0
0250,0
0251,0
0252,0
0253,0
0254,0
0255,0
0256,0
0257,0
0258,0
0259,0
0260,0
0261,0
0262,0
0263,0
0264,0
0265,0
0266,0
0267,0
0268,0
0269,0
0270,0
0271,0
0272,0
0273,0
0274,0
0275,0
0276,0
0277,0
0278,0
0279,0
0280,0
0281,0
0282,0
0283,4
0284,0
0285,0
0286,5
0287,4
0288,6
0289,1
0290,2
0291,0
0292,0
0293,4
0294,5
0295,10
0296,4
0297,1
0298,0
0299,1
0300,12
0301,2
0302,1
0303,3
0304,1
0305,0
0306,2
0307,5
0308,5
0309,1
0310,5
0311,3
0312,0
0313,0
0314,10
0315,12
0316,8
0317,4
0318,5
0319,4
0320,0
0321,6
0322,3
0323,3
0324,3
0325,5
0326,1
0327,0
0328,1
0329,8
0330,3
0331,5
0332,4
0333,0
0334,0
0335,0
0336,8
0337,6
0338,5
0339,1
0340,0
0341,0
0342,1
0343,0
0344,2
0345,0
0346,5
0347,0
0348,0
0349,9
0350,4
0351,7
0352,1
0353,4
0354,1
0355,0
0356,0
0357,6
0358,1
0359,8
0360,8
0361,2
0362,0
0363,9
0364,4
0365,7
0366,3
0367,5
0368,0
0369,0
0370,0
0371,1
0372,2
0373,0
0374,1
0375,0
0376,0
0377,0
0378,2
0379,8
0380,7
0381,3
0382,1
0383,0
0384,1
0385,3
0386,6
0387,7
0388,2
0389,2
0390,1
0391,1
0392,0
0393,1
0394,0
0395,0
0396,0
0397,0
0398,3
0399,0
0400,0
0401,0
0402,0
0403,0
0404,0
0405,0
0406,1
0407,9
0408,3
0409,2
0410,3
0411,4
0412,33
0413,1
0414,1
0415,0
0416,0
0417,1
0418,0
0419,17
0420,6
0421,2
0422,2
0423,4
0424,2
0425,1
0426,16
0427,4
0428,1
0429,3
0430,1
0431,0
0432,0
0433,1
0434,0
0435,3
0436,0
0437,6
0438,0
0439,0
0440,5
0441,11
0442,3
0443,3
0444,0
0445,0
0446,0
0447,3
0448,0
0449,0
0450,0
0451,0
0452,0
0453,0
0454,0
0455,0
0456,0
0457,0
0458,0
0459,0
0460,0
0461,1
0462,3
0463,0
0464,4
0465,0
0466,0
0467,0
0468,0
0469,0
0470,0
0471,0
0472,0
0473,11
0474,11
0475,27
0476,6
0477,4
0478,0
0479,2
0480,2
0481,0
0482,7
0483,2
0484,0
0485,4
0486,0
0487,8
0488,0
0489,1
0490,8
0491,5
0492,14
0493,3
0494,15
0495,0
0496,20
0497,6
0498,0
0499,0
0500,0
0501,7
0502,0
0503,14
0504,4
0505,7
0506,2
0507,2
0508,9
0509,0
0510,4
0511,7
0512,6
0513,4
0514,3
0515,1
0516,0
0517,15
0518,7
0519,11
0520,1
0521,4
0522,6
0523,0
0524,10
0525,3
0526,10
0527,1
0528,4
0529,6
0530,0
0531,27
0532,5
0533,4
0534,4
0535,1
0536,4
0537,0
0538,14
0539,6
0540,2
0541,1
0542,5
0543,10
0544,0
0545,2
0546,4
0547,4
0548,0
0549,0
0550,0
0551,0
0552,7
0553,6
0554,10
0555,4
0556,7
0557,0
0558,0
0559,12
0560,15
0561,10
0562,6
0563,7
0564,3
0565,0
0566,6
0567,7
0568,7
0569,10
0570,8
0571,2
0572,0
0573,5
0574,4
0575,8
0576,3
0577,0
0578,1
0579,0
0580,6
0581,2
0582,6
0583,0
0584,0
0585,4
0586,0
0587,1
0588,0
0589,3
0590,1
0591,1
0592,0
0593,0
0594,0
0595,2
0596,3
0597,0
0598,3
0599,5
0600,0
0601,3
0602,1
0603,1
0604,2
0605,1
0606,0
0607,0
0608,3
0609,3
0610,1
0611,0
0612,0
0613,2
0614,0
0615,2
0616,0
0617,1
0618,1
0619,13
0620,4
0621,0
0622,6
0623,3
0624,8
0625,12
0626,1
0627,9
0628,0
0629,7
0630,0
0631,0
0632,1
0633,0
0634,16
0635,0
0636,1
0637,2
0638,1
0639,1
0640,2
0641,7
0642,4
0643,3
0644,6
0645,0
0646,1
0647,5
0648,4
0649,0
0650,0
0651,0
0652,3
0653,0
0654,0
0655,4
0656,0
0657,1
0658,4
0659,0
0660,7
0661,9
0662,0
0663,0
0664,11
0665,1
0666,8
0667,14
0668,11
0669,12
0670,0
0671,2
0672,11
0673,19
0674,7
0675,7
0676,23
0677,1
0678,37
0679,20
0680,25
0681,11
0682,4
0683,14
0684,0
0685,25
0686,29
0687,36
0688,34
0689,14
0690,18
0691,2
0692,12
0693,2
0694,4
0695,9
0696,3
0697,0
0698,1
0699,5
0700,1
0701,1
0702,5
0703,8
0704,0
0705,1
0706,7
0707,3
0708,2
0709,1
0710,0

# Start date: 20241001
# End date: 20260911
Nth day,Returning users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0
0129,0
0130,0
0131,0
0132,0
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,0
0173,0
0174,0
0175,0
0176,0
0177,0
0178,0
0179,0
0180,0
0181,0
0182,0
0183,0
0184,0
0185,0
0186,0
0187,0
0188,0
0189,0
0190,0
0191,0
0192,0
0193,0
0194,0
0195,0
0196,0
0197,0
0198,0
0199,0
0200,0
0201,0
0202,0
0203,0
0204,0
0205,0
0206,0
0207,0
0208,0
0209,0
0210,0
0211,0
0212,0
0213,0
0214,0
0215,0
0216,0
0217,0
0218,0
0219,0
0220,0
0221,0
0222,0
0223,0
0224,0
0225,0
0226,0
0227,0
0228,0
0229,0
0230,0
0231,0
0232,0
0233,0
0234,0
0235,0
0236,0
0237,0
0238,0
0239,0
0240,0
0241,0
0242,0
0243,0
0244,0
0245,0
0246,0
0247,0
0248,0
0249,0
0250,0
0251,0
0252,0
0253,0
0254,0
0255,0
0256,0
0257,0
0258,0
0259,0
0260,0
0261,0
0262,0
0263,0
0264,0
0265,0
0266,0
0267,0
0268,0
0269,0
0270,0
0271,0
0272,0
0273,0
0274,0
0275,0
0276,0
0277,0
0278,0
0279,0
0280,0
0281,0
0282,0
0283,2
0284,0
0285,0
0286,1
0287,4
0288,2
0289,3
0290,2
0291,1
0292,0
0293,5
0294,7
0295,13
0296,13
0297,9
0298,0
0299,1
0300,11
0301,3
0302,2
0303,3
0304,3
0305,0
0306,3
0307,3
0308,5
0309,0
0310,9
0311,8
0312,3
0313,1
0314,13
0315,10
0316,6
0317,4
0318,6
0319,3
0320,4
0321,12
0322,4
0323,6
0324,7
0325,8
0326,4
0327,0
0328,4
0329,11
0330,9
0331,10
0332,7
0333,1
0334,0
0335,3
0336,7
0337,7
0338,6
0339,5
0340,1
0341,0
0342,2
0343,0
0344,3
0345,2
0346,4
0347,0
0348,0
0349,3
0350,3
0351,6
0352,5
0353,6
0354,1
0355,2
0356,6
