user_pseudo_id,usage_date,daily_minutes_used
4f4d458073d61f0b96336002801fac8e,2026-09-10,613.09476666666671
9688b8d9abf91c96a719032ea33147c5,2026-09-10,470.86826666666667
6c842e88ec312ca149a1ccee3d99bf3b,2026-09-10,395.31953333333331
0f8f5f462f28bce4de7387e1d530f2fc,2026-09-10,392.68926666666664
6ece9e0e5d44b1bc06a7f90828439d16,2026-09-10,384.05616666666668
382b4e7bade4554d0c4b94780309a770,2026-09-10,382.42283333333336
89f3bd9914ec491f90aec284ff6ec491,2026-09-10,374.36528333333331
d038f4b23312a48a39f2e649f9e82978,2026-09-10,372.76811666666669
f39c5cd175d22089b2d793dbcbd708e8,2026-09-10,371.49701666666664
09ae07a95d44f9894198a20ff8247fcc,2026-09-10,370.39581666666669
be728eb153df16700e0b49d864d15724,2026-09-10,362.43928333333332
30ef3461bd6fabba14373b5d826951a2,2026-09-10,355.03265
6daa2223f2b53cbaaad38ae8812635ad,2026-09-10,345.53645
a04ab8381ff41c96039c9255651c2374,2026-09-10,343.93231666666668
89c07e43c963e2d654fc0829b01dc224,2026-09-10,341.46996666666666
320a67caa445cb70c28f84b5a552ffe0,2026-09-10,334.9372
341db076b4cc9bb40924cf6df1446775,2026-09-10,331.48375
708795d0943547eb1f15267775da6629,2026-09-10,329.5675
2a05e95ce173f9f4de8b16f60997f5c7,2026-09-10,327.80341666666669
7ba38b077d423a9e3100b632302e0a57,2026-09-10,324.17331666666666
eb07213327d21b854f787876e491d7e4,2026-09-10,317.38228333333331
e25b93f56f64f41aec9e5b0b881166e9,2026-09-10,306.50555
1603059dfa4b4da59e7b0fe73f7fef9f,2026-09-10,306.09836666666666
7ba872fd6eb18c17d13dfa36b47108d2,2026-09-10,301.48196666666666
c9fd9ee174cc5a54918bf5f5cc908a40,2026-09-10,290.10858333333334
ff070351b90c6315e140c546b1f885f0,2026-09-10,289.2054
bc30e1e05fa2ff5454fed4c31bde6870,2026-09-10,287.00728333333331
f994f28a1be9e99fc232bc0333a9af6f,2026-09-10,281.89603333333332
31008425962ef0ed052327f5c5f5d6f5,2026-09-10,281.53593333333333
e71b74bcf7162a8be7c459ff9786dbe4,2026-09-10,279.18511666666666
b590950d0f4523806127d2f7fa02ab35,2026-09-10,274.06938333333335
5342eb901cf92098e7863f667972462b,2026-09-10,270.36048333333332
1f3745148e28a8d1e99ef420c86efbd0,2026-09-10,269.08021666666667
1b89debb2fe0060311bbdc66c5ea0f54,2026-09-10,267.10758333333331
d89f0d66ce11deb18139ce1c2efb7c9c,2026-09-10,265.61335
f95c691b7af4f810a5e619112241f175,2026-09-10,265.01696666666669
f8bab5d666254f573de7ffa0e50a3eb6,2026-09-10,263.55766666666665
d91a9fb121421a38934297580987046f,2026-09-10,260.93613333333332
0a9c4f321cb34bbb78b7104dd8207f4c,2026-09-10,260.80005
bc992f04b0a84dec4203c69aa6bacdbb,2026-09-10,256.52918333333332
c50b0bee8cbe6a7e8a5ec12530fa0fe2,2026-09-10,256.18768333333333
6d2595d94b042979c780d4ac67c0994c,2026-09-10,256.05081666666666
dfb498f91d7103c9ec0f7d112f8fdd85,2026-09-10,255.06268333333333
4647978cf8d576bac133e09bc3026d6f,2026-09-10,251.87401666666668
312e28d6f8aecc155fa195d5732a57f9,2026-09-10,250.93638333333334
f17f3fe46142ed289770325b41530714,2026-09-10,249.0908
9f5a4f57f0c42a6df91aa96f7782e872,2026-09-10,248.83911666666665
d561060b749fc9299be1c2764f579b5c,2026-09-10,246.70548333333332
8d55aecd4f6dec7e87f2eab9df8e12f8,2026-09-10,245.45501666666667
f529f7a28e026958478637352564cfa3,2026-09-10,242.86765
71510cb622048e6d335bee84e2f05550,2026-09-10,242.17616666666666
